,0,1,2,3
344,ges,test,shd_dir,61
345,ges,test,shd_undir,38
347,pc,train,shd_dir,48
348,pc,train,shd_undir,26
349,pc,val,shd_dir,46
350,pc,val,shd_undir,30
351,pc,test,shd_dir,49
352,pc,test,shd_undir,35
353,lingam,train,shd_dir,93
354,lingam,train,shd_undir,59
355,lingam,val,shd_dir,94
356,lingam,val,shd_undir,72
357,lingam,test,shd_dir,78
358,lingam,test,shd_undir,54
359,ges,train,shd_dir,71
360,ges,train,shd_undir,48
361,ges,val,shd_dir,62
362,ges,val,shd_undir,44
363,ges,test,shd_dir,40
364,ges,test,shd_undir,27
366,pc,train,shd_dir,50
367,pc,train,shd_undir,28
368,pc,val,shd_dir,44
369,pc,val,shd_undir,34
370,pc,test,shd_dir,43
371,pc,test,shd_undir,31
372,lingam,train,shd_dir,94
373,lingam,train,shd_undir,58
374,lingam,val,shd_dir,80
375,lingam,val,shd_undir,58
376,lingam,test,shd_dir,84
377,lingam,test,shd_undir,62
378,ges,train,shd_dir,45
379,ges,train,shd_undir,34
380,ges,val,shd_dir,57
381,ges,val,shd_undir,42
382,ges,test,shd_dir,44
383,ges,test,shd_undir,29
384,asia,,,
385,Run - 1,,,
386,pc,train,shd_dir,2
387,pc,train,shd_undir,2
388,pc,val,shd_dir,8
389,pc,val,shd_undir,2
390,pc,test,shd_dir,8
391,pc,test,shd_undir,4
392,lingam,train,shd_dir,10
393,lingam,train,shd_undir,4
394,lingam,val,shd_dir,10
395,lingam,val,shd_undir,4
396,lingam,test,shd_dir,14
397,lingam,test,shd_undir,4
398,ges,train,shd_dir,3
399,ges,train,shd_undir,1
400,ges,val,shd_dir,3
401,ges,val,shd_undir,1
402,ges,test,shd_dir,3
403,ges,test,shd_undir,1
404,Run - 2,,,
405,pc,train,shd_dir,8
406,pc,train,shd_undir,2
407,pc,val,shd_dir,8
408,pc,val,shd_undir,2
409,pc,test,shd_dir,8
410,pc,test,shd_undir,2
411,lingam,train,shd_dir,12
412,lingam,train,shd_undir,4
413,lingam,val,shd_dir,16
414,lingam,val,shd_undir,4
415,lingam,test,shd_dir,16
416,lingam,test,shd_undir,2
417,ges,train,shd_dir,3
418,ges,train,shd_undir,1
419,ges,val,shd_dir,6
420,ges,val,shd_undir,1
421,ges,test,shd_dir,8
422,ges,test,shd_undir,8
423,Run - 3,,,
424,pc,train,shd_dir,2
425,pc,train,shd_undir,2
426,pc,val,shd_dir,3
427,pc,val,shd_undir,3
428,pc,test,shd_dir,8
429,pc,test,shd_undir,2
430,lingam,train,shd_dir,17
431,lingam,train,shd_undir,9
432,lingam,val,shd_dir,17
433,lingam,val,shd_undir,9
434,lingam,test,shd_dir,12
435,lingam,test,shd_undir,4
436,ges,train,shd_dir,3
437,ges,train,shd_undir,1
438,ges,val,shd_dir,8
439,ges,val,shd_undir,3
440,ges,test,shd_dir,3
441,ges,test,shd_undir,1
442,Run - 4,,,
443,pc,train,shd_dir,8
444,pc,train,shd_undir,2
445,pc,val,shd_dir,8
446,pc,val,shd_undir,2
447,pc,test,shd_dir,8
448,pc,test,shd_undir,2
449,lingam,train,shd_dir,10
450,lingam,train,shd_undir,4
451,lingam,val,shd_dir,15
452,lingam,val,shd_undir,1
453,lingam,test,shd_dir,8
454,lingam,test,shd_undir,6
455,ges,train,shd_dir,4
456,ges,train,shd_undir,1
457,ges,val,shd_dir,7
458,ges,val,shd_undir,3
459,ges,test,shd_dir,3
460,ges,test,shd_undir,1
461,Run - 5,,,
462,pc,train,shd_dir,5
463,pc,train,shd_undir,1
464,pc,val,shd_dir,8
465,pc,val,shd_undir,2
466,pc,test,shd_dir,3
467,pc,test,shd_undir,3
468,lingam,train,shd_dir,11
469,lingam,train,shd_undir,3
470,lingam,val,shd_dir,14
471,lingam,val,shd_undir,4
472,lingam,test,shd_dir,12
473,lingam,test,shd_undir,2
474,ges,train,shd_dir,3
475,ges,train,shd_undir,0
476,ges,val,shd_dir,3
477,ges,val,shd_undir,1
478,ges,test,shd_dir,5
479,ges,test,shd_undir,4
480,cancer,,,
481,Run - 1,,,
482,pc,train,shd_dir,4
483,pc,train,shd_undir,0
484,pc,val,shd_dir,4
485,pc,val,shd_undir,2
486,pc,test,shd_dir,4
487,pc,test,shd_undir,2
488,lingam,train,shd_dir,5
489,lingam,train,shd_undir,1
490,lingam,val,shd_dir,4
491,lingam,val,shd_undir,2
492,lingam,test,shd_dir,4
493,lingam,test,shd_undir,2
494,ges,train,shd_dir,3
495,ges,train,shd_undir,1
496,ges,val,shd_dir,4
497,ges,val,shd_undir,2
498,ges,test,shd_dir,4
499,ges,test,shd_undir,2
500,Run - 2,,,
501,pc,train,shd_dir,5
502,pc,train,shd_undir,1
503,pc,val,shd_dir,4
504,pc,val,shd_undir,2
505,pc,test,shd_dir,4
506,pc,test,shd_undir,2
507,lingam,train,shd_dir,5
508,lingam,train,shd_undir,1
509,lingam,val,shd_dir,5
510,lingam,val,shd_undir,1
511,lingam,test,shd_dir,5
512,lingam,test,shd_undir,1
513,ges,train,shd_dir,4
514,ges,train,shd_undir,1
515,ges,val,shd_dir,3
516,ges,val,shd_undir,1
517,ges,test,shd_dir,3
518,ges,test,shd_undir,1
519,Run - 3,,,
520,pc,train,shd_dir,5
521,pc,train,shd_undir,1
522,pc,val,shd_dir,4
523,pc,val,shd_undir,2
524,pc,test,shd_dir,4
525,pc,test,shd_undir,2
526,lingam,train,shd_dir,5
527,lingam,train,shd_undir,1
528,lingam,val,shd_dir,5
529,lingam,val,shd_undir,1
530,lingam,test,shd_dir,5
531,lingam,test,shd_undir,1
532,ges,train,shd_dir,4
533,ges,train,shd_undir,1
534,ges,val,shd_dir,4
535,ges,val,shd_undir,2
536,ges,test,shd_dir,3
537,ges,test,shd_undir,1
538,Run - 4,,,
539,pc,train,shd_dir,4
540,pc,train,shd_undir,0
541,pc,val,shd_dir,4
542,pc,val,shd_undir,2
543,pc,test,shd_dir,5
544,pc,test,shd_undir,1
545,lingam,train,shd_dir,5
546,lingam,train,shd_undir,1
547,lingam,val,shd_dir,5
548,lingam,val,shd_undir,1
549,lingam,test,shd_dir,5
550,lingam,test,shd_undir,1
551,ges,train,shd_dir,2
552,ges,train,shd_undir,0
553,ges,val,shd_dir,3
554,ges,val,shd_undir,1
555,ges,test,shd_dir,7
556,ges,test,shd_undir,1
557,Run - 5,,,
558,pc,train,shd_dir,4
559,pc,train,shd_undir,0
560,pc,val,shd_dir,5
561,pc,val,shd_undir,3
562,pc,test,shd_dir,4
563,pc,test,shd_undir,2
564,lingam,train,shd_dir,5
565,lingam,train,shd_undir,1
566,lingam,val,shd_dir,6
567,lingam,val,shd_undir,2
568,lingam,test,shd_dir,5
569,lingam,test,shd_undir,1
570,ges,train,shd_dir,2
571,ges,train,shd_undir,0
572,ges,val,shd_dir,3
573,ges,val,shd_undir,1
574,ges,test,shd_dir,3
575,ges,test,shd_undir,1
576,child,,,
577,Run - 1,,,
578,pc,train,shd_dir,23
579,pc,train,shd_undir,9
580,pc,val,shd_dir,22
581,pc,val,shd_undir,8
582,pc,test,shd_dir,18
583,pc,test,shd_undir,8
584,lingam,train,shd_dir,50
585,lingam,train,shd_undir,32
586,lingam,val,shd_dir,41
587,lingam,val,shd_undir,29
588,lingam,test,shd_dir,39
589,lingam,test,shd_undir,25
590,ges,train,shd_dir,32
591,ges,train,shd_undir,20
592,ges,val,shd_dir,34
593,ges,val,shd_undir,11
594,ges,test,shd_dir,30
595,ges,test,shd_undir,11
596,Run - 2,,,
597,pc,train,shd_dir,20
598,pc,train,shd_undir,8
599,pc,val,shd_dir,18
600,pc,val,shd_undir,6
601,pc,test,shd_dir,21
602,pc,test,shd_undir,9
603,lingam,train,shd_dir,44
604,lingam,train,shd_undir,30
605,lingam,val,shd_dir,35
606,lingam,val,shd_undir,23
607,lingam,test,shd_dir,37
608,lingam,test,shd_undir,27
609,ges,train,shd_dir,29
610,ges,train,shd_undir,18
611,ges,val,shd_dir,33
612,ges,val,shd_undir,12
613,ges,test,shd_dir,24
614,ges,test,shd_undir,13
615,Run - 3,,,
616,pc,train,shd_dir,21
617,pc,train,shd_undir,7
618,pc,val,shd_dir,15
619,pc,val,shd_undir,9
620,pc,test,shd_dir,18
621,pc,test,shd_undir,8
622,lingam,train,shd_dir,48
623,lingam,train,shd_undir,32
624,lingam,val,shd_dir,41
625,lingam,val,shd_undir,25
626,lingam,test,shd_dir,39
627,lingam,test,shd_undir,23
628,ges,train,shd_dir,38
629,ges,train,shd_undir,20
630,ges,val,shd_dir,31
631,ges,val,shd_undir,11
632,ges,test,shd_dir,28
633,ges,test,shd_undir,15
634,Run - 4,,,
635,pc,train,shd_dir,23
636,pc,train,shd_undir,11
637,pc,val,shd_dir,18
638,pc,val,shd_undir,6
639,pc,test,shd_dir,24
640,pc,test,shd_undir,6
641,lingam,train,shd_dir,51
642,lingam,train,shd_undir,37
643,lingam,val,shd_dir,44
644,lingam,val,shd_undir,28
645,lingam,test,shd_dir,42
646,lingam,test,shd_undir,30
647,ges,train,shd_dir,30
648,ges,train,shd_undir,19
649,ges,val,shd_dir,30
650,ges,val,shd_undir,11
651,ges,test,shd_dir,38
652,ges,test,shd_undir,12
653,Run - 5,,,
654,pc,train,shd_dir,24
655,pc,train,shd_undir,8
656,pc,val,shd_dir,19
657,pc,val,shd_undir,9
658,pc,test,shd_dir,26
659,pc,test,shd_undir,8
660,lingam,train,shd_dir,48
661,lingam,train,shd_undir,30
662,lingam,val,shd_dir,40
663,lingam,val,shd_undir,28
664,lingam,test,shd_dir,42
665,lingam,test,shd_undir,26
666,ges,train,shd_dir,33
667,ges,train,shd_undir,20
668,ges,val,shd_dir,33
669,ges,val,shd_undir,11
670,ges,test,shd_dir,29
671,ges,test,shd_undir,9
672,insurance,,,
673,Run - 1,,,
674,pc,train,shd_dir,46
675,pc,train,shd_undir,28
676,pc,val,shd_dir,43
677,pc,val,shd_undir,29
678,pc,test,shd_dir,44
679,pc,test,shd_undir,30
680,lingam,train,shd_dir,89
681,lingam,train,shd_undir,57
682,lingam,val,shd_dir,80
683,lingam,val,shd_undir,62
684,lingam,test,shd_dir,85
685,lingam,test,shd_undir,55
686,ges,train,shd_dir,46
687,ges,train,shd_undir,35
688,ges,val,shd_dir,48
689,ges,val,shd_undir,32
690,ges,test,shd_dir,36
691,ges,test,shd_undir,27
692,Run - 2,,,
693,pc,train,shd_dir,39
694,pc,train,shd_undir,27
695,pc,val,shd_dir,45
696,pc,val,shd_undir,31
697,pc,test,shd_dir,43
698,pc,test,shd_undir,31
699,lingam,train,shd_dir,87
